Symbol,"UNDERLYING ASSET 
"
MONQ50,Nasdaq Q-50 Total Return Index
HNGSNGBEES,Hang Seng Index
MON100,Nasdaq100
MAFANG,NYSE FANG+ Total Return Index
MASPTOP50,S&P 500 Top 50 Total Return Index
AXISCETF,NIFTY India Consumption Index
MAHKTECH,Hang Seng TECH Total Return Index
MODEFENCE,Nifty India Defence Total Return Index
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF
OILIETF,Nifty Oil & Gas Index
SBIETFCON,Nifty India Consumption Index
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF
CONSUMIETF,Nifty India Consumption Index
AUTOBEES,Nifty Auto TRI
FMCGIETF,Nifty FMCG Index
MOREALTY,Motilal Oswal Nifty Realty ETF
MOLOWVOL,Nifty Midcap 100 TRI
NIFITETF,UTI Nifty IT ETF
AUTOIETF,Nifty Auto Index
AXSENSEX,AXIS S&P BSE SENSEX ETF
TECH,Nifty IT TRI Index
CONSUMBEES,Nifty India Consumption TRI
GROWWDEFNC,Nifty India Defence Index- Total Return Index
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index
NETF,Tata Nifty 50 Exchange Traded Fund
HDFCPVTBAN,HDFC NIFTY Private Bank ETF
AXISTECETF,NIFTY IT Index
MOQUALITY,Motilal Oswal S&P BSE Quality ETF
HEALTHY,Nifty Healthcare TRI
HDFCNIFIT,HDFC NIFTY IT ETF
HDFCVALUE,HDFC NIFTY50 Value 20 ETF
EVINDIA,Nifty EV and New Age Automotive Total Return Index
NPBET,Nifty Private Bank Index
SHARIABEES,Shariah
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
HDFCMID150,HDFC NIFTY Midcap 150 ETF
BSLSENETFG,BSE SENSEX Index
SBINEQWETF,Nifty50 Equal Weight
SBIETFIT,Nifty IT Index
ITETFADD,DSP Nifty IT ETF
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
SBIETFQLTY,Nifty 200 Quality 30 Index
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF
HEALTHIETF,Nifty Healthcare Index
GROWWEV,Nifty EV and New Age Automotive Index
LICNETFSEN,SENSEX
QNIFTY,Nifty 50
SENSEXETF,Mirae Asset S&P BSE Sensex ETF
MID150CASE,Zerodha Nifty Midcap 150 ETF
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
BSE500IETF,S&P BSE 500 index
BSLNIFTY,Nifty 50
ITETF,Mirae Asset Nifty IT ETF
AXISHCETF,Nifty Healthcare Index
LICNFNHGP,Nifty 100
SETFNIF50,Nifty 50
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF
CONS,Kotak Nifty India Consumption ETF
INFRABEES,Nifty Infra
LOWVOLIETF,Nifty 100 Low Volatility 30 Index
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF
SDL26BEES,Nifty SDL Apr 2026 Top 20 Equal Weight Index
HDFCSML250,HDFC NIFTY Smallcap 250 ETF
AXISNIFTY,Nifty 50
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF
SBISILVER,SBI SILVER ETF
LICNMID100,LIC MF Nifty Midcap 100 ETF
ABSLNN50ET,Nifty Next 50
IDFNIFTYET,Nifty 50
ITBEES,Nifty IT TRI
SENSEXADD,DSP S&P BSE Sensex ETF
HDFCNIF100,HDFC NIFTY 100 ETF
ESG,NIFTY100 ESG SECTOR LEADERS
AXISILVER,Axis Silver ETF
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF
PHARMABEES,Nifty Pharma TRI
UTINEXT50,Nifty Next 50
MULTICAP,Nifty500 Multicap 50:25:25 Index
NIFTY50ADD,Nifty 50 Index
HDFCNIFTY,Nifty 50
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF
SETFNN50,Nifty Next 50
NIFTYBETF,Bajaj Finserv Nifty 50 ETF
MID150BEES,Nifty Midcap 150 TRI
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF
LICNETFGSC,GSEC10 NSE Index
HDFCBSE500,HDFC S&P BSE 500 ETF
MAKEINDIA,Nifty India Manufacturing Total Return Index
SILVER,Physical price of Silver
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF
ESILVER,Edelweiss Silver ETF
NIFTYBEES,Nifty 50
HDFCSENSEX,SENSEX
MOM100,Nifty Midcap 100
JUNIORBEES,Nifty Next 50
TNIDETF,Nifty India Digital Index
NV20IETF,Nifty50 Value 20
PVTBANIETF,Nifty Private Bank Index
TOP10ADD,Nifty Top 10 Equal Weight Index
EBANKNIFTY,Edelweiss Nifty Bank ETF
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index
NV20,Nifty50 Value 20
NV20BEES,Nifty50 Value20 TRI
CPSEETF,CPSE ETF
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI
SILVERADD,DSP Silver ETF
GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF
ALPHA,NIFTY Alpha 50 Index
NIF100BEES,Nifty 100 TRI
NEXT50IETF,Nifty Next 50
UTISENSETF,SENSEX
TATAGOLD,Tata Gold Exchange Traded Fund
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF
TOP100CASE,Zerodha Nifty 100 ETF
HDFCNIFBAN,Nifty Bank
SILVERIETF,Domestic Price of Silver
MONIFTY500,Motilal Oswal Nifty 500 ETF
MIDCAPIETF,Nifty Midcap 150
MOM50,Nifty 50
NIFTYIETF,Nifty 50
ITIETF,Nifty IT Index
NEXT50,Nifty Next 50
LICNETFN50,Nifty 50
NIF100IETF,Nifty 100
SILVER1,Kotak Silver ETF
ABSLBANETF,Nifty Bank
LICMFGOLD,Gold
SBIETFPB,Nifty Private Bank Index
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
MIDSELIETF,S&P BSE Midcap Select Index
NIFTYETF,Nifty 50
MNC,Kotak Nifty MNC ETF
PVTBANKADD,DSP Nifty Private Bank ETF
NIFTY1,Nifty 50
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
SILVRETF,Mirae Asset Silver ETF
IVZINNIFTY,Nifty 50
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index
NIF10GETF,UTI Nifty 10 yr Benchmark G-Sec ETF
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index
